,codes,id,id_region,insee,label,label_region,lat,lon,name,region,timezone,zip_code
1055,"[{'type': 'CR-CI-CH', 'value': '0087-381236-00'}]",stop_area:OCE:SA:87381236,admin:374900extern,60644,Trie-Château (Trie-Château),Trie-Château (60590),49.282545,1.818138,Trie-Château,Trie-Château,Europe/Paris,60590
1056,"[{'type': 'CR-CI-CH', 'value': '0087-381244-00'}]",stop_area:OCE:SA:87381244,admin:374796extern,27284,Gisors (Gisors),Gisors (27140),49.285126,1.784518,Gisors,Gisors,Europe/Paris,27140
1057,"[{'type': 'CR-CI-CH', 'value': '0087-381269-00'}]",stop_area:OCE:SA:87381269,admin:75021extern,60616,Sérifontaine (Sérifontaine),Sérifontaine (60590),49.357208,1.76413,Sérifontaine,Sérifontaine,Europe/Paris,60590
1058,"[{'type': 'CR-CI-CH', 'value': '0087-381293-00'}]",stop_area:OCE:SA:87381293,admin:1190905extern,76260,Gournay-Ferrières (Ferrières-en-Bray),Ferrières-en-Bray (76220),49.481561,1.738127,Gournay-Ferrières,Ferrières-en-Bray,Europe/Paris,76220
1059,"[{'type': 'CR-CI-CH', 'value': '0087-381418-BV'}]",stop_area:OCE:SA:87381418,admin:120957extern,95218,Eragny-Neuville (Éragny),Éragny (95610),49.018259,2.090975,Eragny-Neuville,Éragny,Europe/Paris,95610
1060,"[{'type': 'CR-CI-CH', 'value': '0087-381426-00'}]",stop_area:OCE:SA:87381426,admin:73899extern,95572,St-Ouen-l'Aumône-Eglise (Saint-Ouen-l'Aumône),Saint-Ouen-l'Aumône (95310),49.040022,2.103679,St-Ouen-l'Aumône-Eglise,Saint-Ouen-l'Aumône,Europe/Paris,95310
1061,"[{'type': 'CR-CI-CH', 'value': '0087-381459-BV'}]",stop_area:OCE:SA:87381459,admin:75461extern,78172,Conflans-Fin-d'Oise (Conflans-Sainte-Honorine),Conflans-Sainte-Honorine (78700),48.989189,2.074577,Conflans-Fin-d'Oise,Conflans-Sainte-Honorine,Europe/Paris,78700
1062,"[{'type': 'CR-CI-CH', 'value': '0087-381475-00'}]",stop_area:OCE:SA:87381475,admin:909987extern,78138,Chanteloup-les-Vignes (Chanteloup-les-Vignes),Chanteloup-les-Vignes (78570),48.970816,2.027713,Chanteloup-les-Vignes,Chanteloup-les-Vignes,Europe/Paris,78570
1063,"[{'type': 'CR-CI-CH', 'value': '0087-381483-00'}]",stop_area:OCE:SA:87381483,admin:75517extern,78015,Maurecourt (Andrésy),Andrésy (78570),48.987107,2.059717,Maurecourt,Andrésy,Europe/Paris,78570
1064,"[{'type': 'CR-CI-CH', 'value': '0087-381491-00'}]",stop_area:OCE:SA:87381491,admin:75517extern,78015,Andrésy (Andrésy),Andrésy (78570),48.974283,2.048373,Andrésy,Andrésy,Europe/Paris,78570
1065,"[{'type': 'CR-CI-CH', 'value': '0087-381509-BV'}]",stop_area:OCE:SA:87381509,admin:386602extern,78361,Mantes-la-Jolie (Mantes-la-Jolie),Mantes-la-Jolie (78200),48.989692,1.703309,Mantes-la-Jolie,Mantes-la-Jolie,Europe/Paris,78200
1066,"[{'type': 'CR-CI-CH', 'value': '0087-381558-00'}]",stop_area:OCE:SA:87381558,admin:338856extern,78327,Juziers (Juziers),Juziers (78820),48.992305,1.84589,Juziers,Juziers,Europe/Paris,78820
1067,"[{'type': 'CR-CI-CH', 'value': '0087-381566-00'}]",stop_area:OCE:SA:87381566,admin:354362extern,78267,Gargenville (Gargenville),Gargenville (78440),48.983116,1.809044,Gargenville,Gargenville,Europe/Paris,78440
1068,"[{'type': 'CR-CI-CH', 'value': '0087-381574-00'}]",stop_area:OCE:SA:87381574,admin:357180extern,78314,Issou-Porcheville (Issou),Issou (78440),48.979314,1.785094,Issou-Porcheville,Issou,Europe/Paris,78440
1069,"[{'type': 'CR-CI-CH', 'value': '0087-381582-BV'}]",stop_area:OCE:SA:87381582,admin:370345extern,78335,Limay (Limay),Limay (78520),48.984165,1.747139,Limay,Limay,Europe/Paris,78520
1070,"[{'type': 'CR-CI-CH', 'value': '0087-381590-00'}]",stop_area:OCE:SA:87381590,admin:386602extern,78361,Mantes-Station (Mantes-la-Jolie),Mantes-la-Jolie (78200),48.983619,1.715645,Mantes-Station,Mantes-la-Jolie,Europe/Paris,78200
1071,"[{'type': 'CR-CI-CH', 'value': '0087-381624-BV'}]",stop_area:OCE:SA:87381624,admin:74708extern,78107,Bréval (Bréval),Bréval (78980),48.943131,1.541345,Bréval,Bréval,Europe/Paris,78980
1072,"[{'type': 'CR-CI-CH', 'value': '0087-381657-BV'}]",stop_area:OCE:SA:87381657,admin:75458extern,78005,Achères-Ville (Achères),Achères (78260),48.969345,2.077803,Achères-Ville,Achères,Europe/Paris,78260
1073,"[{'type': 'CR-CI-CH', 'value': '0087-381715-00'}]",stop_area:OCE:SA:87381715,admin:401599extern,78368,Mareil-sur-Mauldre (Mareil-sur-Mauldre),Mareil-sur-Mauldre (78124),48.893067,1.871868,Mareil-sur-Mauldre,Mareil-sur-Mauldre,Europe/Paris,78124
1074,"[{'type': 'CR-CI-CH', 'value': '0087-381723-BV'}]",stop_area:OCE:SA:87381723,admin:124802extern,78380,Maule (Maule),Maule (78580),48.909077,1.856972,Maule,Maule,Europe/Paris,78580
1075,"[{'type': 'CR-CI-CH', 'value': '0087-381731-00'}]",stop_area:OCE:SA:87381731,admin:145561extern,78451,Nezel-Aulnay (Nézel),Nézel (78410),48.938622,1.840533,Nezel-Aulnay,Nézel,Europe/Paris,78410
1076,"[{'type': 'CR-CI-CH', 'value': '0087-381798-00'}]",stop_area:OCE:SA:87381798,admin:103245extern,95018,Val-d'Argenteuil (Argenteuil),Argenteuil (95100),48.950384,2.23113,Val-d'Argenteuil,Argenteuil,Europe/Paris,95100
1077,"[{'type': 'CR-CI-CH', 'value': '0087-381806-00'}]",stop_area:OCE:SA:87381806,admin:908434extern,78624,Triel-sur-Seine (Triel-sur-Seine),Triel-sur-Seine (78510),48.981011,2.005643,Triel-sur-Seine,Triel-sur-Seine,Europe/Paris,78510
1078,"[{'type': 'CR-CI-CH', 'value': '0087-381814-00'}]",stop_area:OCE:SA:87381814,admin:908507extern,78638,Vaux-sur-Seine (Vaux-sur-Seine),Vaux-sur-Seine (78740),49.006993,1.963609,Vaux-sur-Seine,Vaux-sur-Seine,Europe/Paris,78740
1079,"[{'type': 'CR-CI-CH', 'value': '0087-381822-00'}]",stop_area:OCE:SA:87381822,admin:393082extern,78401,Thun-le-Paradis (Meulan-en-Yvelines),Meulan-en-Yvelines (78250),49.006729,1.919325,Thun-le-Paradis,Meulan-en-Yvelines,Europe/Paris,78250
1080,"[{'type': 'CR-CI-CH', 'value': '0087-381830-BV'}]",stop_area:OCE:SA:87381830,admin:393334extern,78299,Meulan-Hardricourt (Hardricourt),Hardricourt (78250),49.005741,1.901904,Meulan-Hardricourt,Hardricourt,Europe/Paris,78250
1081,"[{'type': 'CR-CI-CH', 'value': '0087-381848-BV'}]",stop_area:OCE:SA:87381848,admin:103245extern,95018,Argenteuil (Argenteuil),Argenteuil (95100),48.947007,2.257197,Argenteuil,Argenteuil,Europe/Paris,95100
1082,"[{'type': 'CR-CI-CH', 'value': '0087-381863-00'}]",stop_area:OCE:SA:87381863,admin:402367extern,95176,Cormeilles-en-Parisis (Cormeilles-en-Parisis),Cormeilles-en-Parisis (95240),48.968659,2.193392,Cormeilles-en-Parisis,Cormeilles-en-Parisis,Europe/Paris,95240
1083,"[{'type': 'CR-CI-CH', 'value': '0087-381871-00'}]",stop_area:OCE:SA:87381871,admin:402368extern,95257,La Frette-Montigny (La Frette-sur-Seine),La Frette-sur-Seine (95530),48.980172,2.180186,La Frette-Montigny,La Frette-sur-Seine,Europe/Paris,95530
1084,"[{'type': 'CR-CI-CH', 'value': '0087-381889-00'}]",stop_area:OCE:SA:87381889,admin:398232extern,95306,Herblay (Herblay),Herblay (95220),48.990347,2.161966,Herblay,Herblay,Europe/Paris,95220
1085,"[{'type': 'CR-CI-CH', 'value': '0087-381897-BV'}]",stop_area:OCE:SA:87381897,admin:75461extern,78172,Conflans-Ste-Honorine (Conflans-Sainte-Honorine),Conflans-Sainte-Honorine (78700),48.997048,2.098054,Conflans-Ste-Honorine,Conflans-Sainte-Honorine,Europe/Paris,78700
1086,"[{'type': 'CR-CI-CH', 'value': '0087-381905-00'}]",stop_area:OCE:SA:87381905,admin:120955extern,95127,Cergy-Préfecture (Cergy),Cergy (95000-95800),49.036523,2.079735,Cergy-Préfecture,Cergy,Europe/Paris,95000;95800
1087,"[{'type': 'CR-CI-CH', 'value': '0087-382002-BV'}]",stop_area:OCE:SA:87382002,admin:91768extern,92026,Bécon-les-Bruyères (Courbevoie),Courbevoie (92400),48.905584,2.26859,Bécon-les-Bruyères,Courbevoie,Europe/Paris,92400
