Date	Open	High	Low	Close	Volume	Adj Close
02/02/2007	86.60	87.50	86.35	86.90	4062800	84.04
01/02/2007	86.45	87.05	86.00	86.20	4824900	83.36
31/01/2007	85.90	86.40	85.40	85.55	5084600	82.74
30/01/2007	84.15	85.80	83.95	85.55	4297600	82.74
29/01/2007	83.75	84.45	83.25	84.15	3206000	81.38
26/01/2007	84.10	84.10	82.70	83.10	4497800	80.37
25/01/2007	85.00	85.80	84.30	84.55	4318500	81.77
24/01/2007	83.70	84.95	83.65	84.80	3808300	82.01
23/01/2007	83.50	83.70	82.80	83.50	3176200	80.75
22/01/2007	84.75	84.85	83.15	83.15	4187900	80.42
19/01/2007	83.25	84.65	83.00	84.50	4408000	81.72
18/01/2007	84.35	84.90	83.30	83.60	3457600	80.85
17/01/2007	84.85	85.05	83.70	83.90	2898300	81.14
16/01/2007	85.55	85.85	84.80	85.00	2634500	82.20
15/01/2007	85.60	85.95	84.80	85.45	2564000	82.64
12/01/2007	85.00	85.75	84.80	85.20	3276400	82.40
11/01/2007	83.25	85.00	82.90	85.00	5128600	82.20
10/01/2007	83.20	83.50	82.45	82.70	3952200	79.98
09/01/2007	84.35	85.00	83.90	83.90	3512000	81.14
08/01/2007	84.25	84.95	83.60	84.05	3271400	81.29
05/01/2007	84.90	85.05	84.10	84.10	2883700	81.33
04/01/2007	85.00	85.55	84.40	85.25	3068800	82.45
03/01/2007	85.10	85.75	84.50	85.45	3805300	82.64
02/01/2007	83.50	85.05	83.40	84.70	3842600	81.91
01/01/2007	82.65	82.65	82.65	82.65	0	79.93
29/12/2006	82.90	83.35	82.55	82.65	1722500	79.93
28/12/2006	82.85	83.10	82.40	82.60	1635200	79.88
27/12/2006	81.40	82.60	81.25	82.40	2331500	79.69
26/12/2006	80.50	80.50	80.50	80.50	0	77.85
25/12/2006	80.50	80.50	80.50	80.50	0	77.85
22/12/2006	81.80	81.80	80.10	80.50	3014100	77.85
21/12/2006	81.85	82.35	81.55	81.80	5273100	79.11
20/12/2006	82.70	82.85	81.70	82.30	3751100	79.59
19/12/2006	83.00	83.10	81.80	82.00	3629500	79.30
18/12/2006	83.10	83.75	82.70	83.15	3032300	80.42
15/12/2006	83.30	83.45	82.45	83.15	5101700	80.42
14/12/2006	82.60	83.15	82.10	83.05	5836000	80.32
13/12/2006	81.10	82.15	80.55	81.95	5410200	79.25
12/12/2006	81.25	81.40	80.50	81.10	6303500	78.43
11/12/2006	81.35	81.65	80.25	81.10	4459100	78.43
08/12/2006	80.65	81.25	79.60	80.70	4890900	78.05
07/12/2006	80.75	82.00	80.40	81.30	5100200	78.63
06/12/2006	81.45	81.85	80.65	81.10	2787700	78.43
05/12/2006	80.90	81.85	79.80	81.40	4028400	78.72
04/12/2006	80.10	80.70	79.25	80.50	4774400	77.85
01/12/2006	81.60	82.60	79.65	79.90	5238900	77.27
30/11/2006	82.25	82.60	81.20	81.35	3916500	78.67
29/11/2006	81.50	82.60	81.10	82.20	5182700	79.50
28/11/2006	80.75	81.40	79.55	81.15	5204600	78.48
27/11/2006	82.75	82.90	80.75	80.90	4415600	78.24
24/11/2006	83.35	83.60	82.10	83.00	3476900	80.27
23/11/2006	84.60	84.60	82.85	83.70	3137900	80.95
22/11/2006	84.60	84.75	83.45	84.20	3167700	81.43
21/11/2006	84.15	84.80	83.55	84.05	3166600	81.29
20/11/2006	83.20	84.35	82.80	84.05	2971500	81.29
17/11/2006	84.40	84.65	83.15	83.65	4087600	80.90
16/11/2006	85.20	85.20	83.65	84.45	7236100	81.67
15/11/2006	87.10	87.10	86.20	86.20	2234300	83.36
14/11/2006	87.00	87.00	86.15	86.50	3430800	83.65
13/11/2006	86.00	87.10	86.00	86.85	2669900	83.99
10/11/2006	85.80	86.10	84.80	86.10	3144900	83.27
09/11/2006	86.40	86.45	85.40	85.95	2895900	83.12
08/11/2006	85.90	86.75	85.90	86.50	2346100	83.65
07/11/2006	85.65	86.95	85.40	86.45	3431200	83.61
06/11/2006	84.00	85.30	84.00	85.30	2579800	82.49
03/11/2006	84.15	84.40	83.45	84.00	2868500	81.24
02/11/2006	85.25	85.45	83.60	83.85	4434700	81.09
01/11/2006	86.30	86.30	85.30	85.85	2220600	83.03
31/10/2006	85.75	86.65	85.50	86.15	2210400	83.32
30/10/2006	85.80	86.20	85.35	85.65	2241300	82.83
27/10/2006	87.35	87.45	86.15	86.55	1863600	83.70
26/10/2006	87.05	87.40	86.65	87.00	3085300	84.14
25/10/2006	86.15	87.15	85.85	86.45	2821900	83.61
24/10/2006	87.70	87.90	86.10	86.65	2738600	83.80
23/10/2006	86.85	87.50	85.85	87.20	1964100	84.33
20/10/2006	86.60	87.15	85.85	86.25	3821200	83.41
19/10/2006	85.70	86.95	85.55	86.50	2713900	83.65
18/10/2006	85.45	86.75	85.10	86.30	2715200	83.46
17/10/2006	86.10	86.25	84.45	84.65	3390100	81.87
16/10/2006	87.40	87.50	85.90	86.20	3740500	83.36
13/10/2006	88.50	88.50	86.75	87.10	2932000	84.24
12/10/2006	86.35	88.20	86.30	87.95	3511200	85.06
11/10/2006	86.60	86.75	85.75	86.45	2953000	83.61
10/10/2006	87.20	87.65	86.35	87.00	5734100	84.14
09/10/2006	86.50	87.20	86.30	86.75	1776900	83.90
06/10/2006	87.15	88.05	86.55	86.90	3145900	84.04
05/10/2006	87.00	87.50	86.45	86.65	3255800	83.80
04/10/2006	84.75	86.05	84.55	86.00	4312800	83.17
03/10/2006	83.95	84.40	83.80	84.10	2547000	81.33
02/10/2006	85.05	85.35	83.85	84.45	2214700	81.67
29/09/2006	84.95	85.35	84.65	84.85	2106100	82.06
28/09/2006	85.00	85.10	84.35	84.75	3149400	81.96
27/09/2006	84.85	85.35	84.20	85.20	4580200	82.40
26/09/2006	83.85	84.60	83.50	84.30	3883300	81.53
25/09/2006	83.30	84.00	82.55	83.00	3917100	80.27
22/09/2006	83.40	83.75	82.45	82.80	2881700	80.08
21/09/2006	83.85	84.80	83.50	84.35	2777200	81.58
20/09/2006	82.05	84.15	81.80	83.95	3389900	81.19
19/09/2006	83.25	83.35	81.90	82.10	3202100	79.40
18/09/2006	83.35	83.80	82.85	83.25	2581100	80.51
15/09/2006	83.00	83.75	82.70	83.10	7338400	80.37
14/09/2006	83.00	83.30	82.30	82.70	2776600	79.98
13/09/2006	83.00	83.15	82.00	82.70	2525300	79.98
12/09/2006	81.95	82.75	81.05	82.60	3903700	79.88
11/09/2006	82.00	82.25	81.35	82.00	1988100	79.30
08/09/2006	82.45	82.95	82.10	82.45	2715200	79.74
07/09/2006	82.65	82.80	81.60	81.95	2924300	79.25
06/09/2006	83.75	83.95	82.25	82.70	2650700	79.98
05/09/2006	84.45	84.50	83.20	83.75	2186800	81.00
04/09/2006	83.50	84.70	83.35	84.35	2224200	81.58
01/09/2006	82.70	83.70	82.60	83.25	2488500	80.51
31/08/2006	84.00	84.05	82.50	82.95	2698000	80.22
30/08/2006	83.90	84.15	83.55	83.65	2091500	80.90
29/08/2006	83.00	84.20	82.85	83.50	3538800	80.75
28/08/2006	82.20	83.15	81.65	82.80	1539100	80.08
25/08/2006	82.30	82.90	81.50	82.50	2024400	79.79
24/08/2006	81.40	82.70	80.75	82.15	2456400	79.45
23/08/2006	82.55	82.70	80.80	81.00	2605700	78.34
22/08/2006	82.05	82.60	81.00	82.40	2979100	79.69
21/08/2006	83.10	83.20	81.70	81.70	3067400	79.01
18/08/2006	83.80	84.20	82.80	83.20	3599600	80.46
17/08/2006	83.90	83.95	83.10	83.85	2548700	81.09
16/08/2006	83.10	83.90	82.80	83.70	3869800	80.95
15/08/2006	81.25	83.45	81.20	83.25	2616500	80.51
14/08/2006	81.00	82.00	80.95	81.80	2484800	79.11
11/08/2006	80.05	81.45	79.90	80.80	3440800	78.14
10/08/2006	79.55	80.40	79.00	80.00	3434200	77.37
09/08/2006	79.55	80.70	78.55	80.35	4522000	77.71
08/08/2006	78.80	79.70	78.65	79.30	3019000	76.69
07/08/2006	79.10	79.40	78.25	78.30	2924100	75.72
04/08/2006	77.90	80.75	77.85	80.00	5276200	77.37
