Date,Open,High,Low,Close,Volume,Adj Close
2008-01-28,63.83,65.80,63.52,65.68,5427800,54.37
2008-01-25,69.45,69.45,65.05,65.50,9287200,54.22
2008-01-24,67.19,69.26,66.31,67.92,13555100,56.23
2008-01-23,68.64,68.85,63.09,63.57,13146200,52.63
2008-01-22,59.20,67.92,57.78,66.65,18798400,55.18
2008-01-21,67.50,67.89,62.12,62.71,15420900,51.92
2008-01-18,72.81,73.21,69.11,69.39,9687800,57.45
2008-01-17,73.91,74.32,72.11,72.38,5581000,59.92
2008-01-16,71.81,74.10,71.15,73.17,8219000,60.57
2008-01-15,73.70,75.41,72.19,72.25,8484100,59.81
2008-01-14,72.47,74.61,72.45,73.72,4811900,61.03
2008-01-11,71.27,73.27,71.01,72.68,5132400,60.17
2008-01-10,71.75,72.76,70.96,70.99,4825300,58.77
2008-01-09,71.29,72.06,70.82,71.22,5433800,58.96
2008-01-08,72.56,72.77,71.12,71.82,5160800,59.46
2008-01-07,71.75,73.15,71.71,72.37,3687600,59.91
2008-01-04,73.05,74.21,71.66,72.40,4506500,59.94
2008-01-03,73.11,73.88,72.62,73.42,2787000,60.78
2008-01-02,74.06,74.98,73.12,73.49,2771200,60.84
2008-01-01,74.22,74.22,74.22,74.22,000,61.44
2007-12-31,74.08,74.38,73.91,74.22,524000,61.44
2007-12-28,73.98,75.29,73.98,74.50,1612100,61.68
2007-12-27,74.50,75.28,74.15,74.59,2729900,61.75
2007-12-26,73.89,73.89,73.89,73.89,000,61.17
2007-12-25,73.89,73.89,73.89,73.89,000,61.17
2007-12-24,74.75,74.75,73.82,73.89,651300,61.17
2007-12-21,74.45,75.31,74.02,74.04,8898200,61.29
2007-12-20,73.51,74.10,72.95,73.42,3904900,60.78
2007-12-19,73.35,73.99,72.11,73.07,3687800,60.49
2007-12-18,73.00,75.10,73.00,73.26,4435300,60.65
2007-12-17,73.40,73.94,72.50,73.36,5075900,60.73
2007-12-14,75.35,75.42,73.10,74.64,4414800,61.79
2007-12-13,76.48,76.61,74.20,74.73,7206400,61.87
2007-12-12,76.11,78.37,75.26,77.62,6941000,64.26
2007-12-11,78.71,78.72,76.75,77.40,4159200,64.08
2007-12-10,77.00,79.25,76.61,78.22,4589400,64.76
2007-12-07,77.00,78.32,76.57,77.87,5626700,64.47
2007-12-06,76.14,78.29,75.91,76.87,6207800,63.64
2007-12-05,74.34,75.95,73.99,75.74,4358200,62.70
2007-12-04,74.55,74.70,73.13,74.00,6149300,61.26
2007-12-03,76.51,77.00,74.80,75.32,5993300,62.35
2007-11-30,76.00,78.19,75.56,77.15,7132200,63.87
2007-11-29,75.30,76.80,74.85,75.64,6757500,62.62
2007-11-28,72.40,75.36,72.00,74.43,8325700,61.62
2007-11-27,70.29,73.25,70.00,71.79,8941600,59.43
2007-11-26,72.35,73.27,70.05,70.50,5592900,58.36
2007-11-23,68.00,72.30,68.00,71.93,8307300,59.55
2007-11-22,69.03,69.22,67.62,68.45,4915200,56.67
2007-11-21,69.48,70.10,68.08,68.66,6652900,56.84
2007-11-20,70.20,71.32,68.75,70.86,6924300,58.66
2007-11-19,71.60,72.05,69.42,69.75,5345500,57.74
2007-11-16,72.15,72.32,70.59,71.46,6764700,59.16
2007-11-15,72.90,73.55,71.15,72.70,7015400,60.19
2007-11-14,74.80,75.55,72.50,72.74,8918200,60.22
2007-11-13,71.35,73.25,70.12,72.35,7511700,59.90
2007-11-12,67.87,71.90,67.87,71.36,10357400,59.08
2007-11-09,71.09,71.60,67.54,68.59,11157000,56.78
2007-11-08,70.00,72.74,68.71,70.51,11519900,58.37
2007-11-07,71.91,72.49,69.55,70.70,5450900,58.53
2007-11-06,70.93,71.57,69.36,70.68,5850300,58.51
2007-11-05,70.53,70.74,68.80,70.35,9143300,58.24
2007-11-02,72.00,72.01,70.61,71.52,8640600,59.21
2007-11-01,76.30,76.30,72.05,73.00,9488800,60.43
2007-10-31,74.50,76.49,74.50,76.09,6127400,62.99
2007-10-30,73.57,75.00,73.50,74.62,4519200,61.77
2007-10-29,74.70,75.06,73.86,74.15,4101200,61.39
2007-10-26,73.88,74.41,72.64,73.94,4368900,61.21
2007-10-25,74.00,74.72,73.27,73.79,4416800,61.09
2007-10-24,74.11,74.76,72.74,73.45,4523800,60.81
2007-10-23,74.65,74.98,73.96,74.49,3849500,61.67
2007-10-22,75.35,75.35,73.64,74.49,4429000,61.67
2007-10-19,76.07,76.14,75.20,75.67,5245700,62.64
2007-10-18,77.99,78.16,75.87,76.63,4715600,63.44
2007-10-17,76.88,78.65,76.55,77.65,4747600,64.28
2007-10-16,77.93,78.03,76.35,77.27,6264400,63.97
2007-10-15,79.85,79.98,78.11,78.48,3770400,64.97
2007-10-12,79.50,79.90,78.51,79.90,4597100,66.15
2007-10-11,80.31,81.66,80.10,80.35,3566500,66.52
2007-10-10,81.03,81.42,79.47,80.48,3606900,66.63
2007-10-09,81.20,81.44,80.38,81.25,4657000,67.26
2007-10-08,82.70,82.85,81.12,81.80,2990500,67.72
