Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13
0	-17.9217640869635	0	1.0	-8	-2.95610453487865	-1.96512223347648	11.0488074418543	-3.56691737055525	-0.315015632918247	-3.59846506234077	-1.86848381200732	-17.9365827571781	0	1
0	-17.9365827571781	0	1.0	-8	-2.95610453487865	-1.97452228858129	11.0488074418543	-3.56691737055525	-0.315015632918247	-3.59846506234077	-1.86848381200732	-26.685289204622	0	1
0	-26.685289204622	0	1.0	-8	-2.95610453487865	-1.79017403780248	11.0488074418543	-3.04207278353324	-0.315015632918247	-3.59846506234077	-1.86848381200732	-26.7001078748365	0	1
0	-10.218214557446	0	0.666666666666667	-8	-2.8132045359715	-1.91631403183228	12.3953379313118	-2.68943004054037	-1.14073646884655	-3.27565370898452	-1.82530778042092	-12.7784529173848	0	1
0	-12.7784529173848	0	0.833333333333333	-8	-3.00931870907379	-2.12755184443799	12.9853160129488	-2.57970539220858	-1.72901392728307	-3.13780185082113	-2.82013352671195	-12.8321624632432	0	2
1	-12.8321624632432	0	0.5	-8	-3.03421105207736	-2.79086487593936	12.2557598785015	-3.05525174078102	-2.62791284649669	-3.27565370898452	-2.911974847104	-13.1661529934561	0	1
0	-13.1661529934561	0	0.5	-8	-2.99552607042681	-2.70963580591523	12.6425115951503	-3.05525174078102	-2.49395028475607	-3.11443682063097	-2.911974847104	-13.5877461755462	0	2
0	-13.5877461755462	0	0.833333333333333	-8	-3.06696851223134	-2.21047780810639	12.8477690163949	-2.7988554547663	-1.72901392728307	-3.27565370898452	-2.82013352671195	-13.7095890164213	0	1
0	-7.77077625699791	0	1.0	-8	-2.85432017231572	-2.21075834756015	12.7208702526393	-2.68943004054037	-1.90089318337734	-3.27565370898452	-2.43589052622487	-10.1626269967142	0	1
0	-10.1626269967142	0	0.75	-8	-2.59075674552486	-1.77805122544679	11.9544301462381	-2.07411528801617	-1.35914520494686	-3.13780185082113	-2.19857785952859	-10.502291744034	0	1
1	-10.502291744034	0	1.0	-8	-2.85432017231572	-3.08959850692655	12.7208702526393	-5.58947592548175	-1.90089318337734	-3.27565370898452	-2.43589052622487	-11.2621507159732	0	1
0	-11.2621507159732	0	1.0	-8	-2.85432017231572	-2.4420347624436	12.7208702526393	-2.99922094754996	-1.90089318337734	-3.27565370898452	-2.43589052622487	-11.777011149763	0	1
0	-11.777011149763	0	0.75	-8	-2.68491955252365	-1.58694241214572	12.1054586369589	-2.68943004054037	-0.170504012519443	-3.27565370898452	-2.34321442236155	-12.8941424837503	0	1
0	-9.84770825680291	0	1.0	-8	-3.11486598328359	-2.27670114621365	13.0516222339539	-3.32179282296977	-1.61745868034654	-4.47139157614489	-2.33771664884358	-12.579223743839	0	1
1	-12.579223743839	0	1.0	-8	-3.11486598328359	-2.97977327370677	13.0516222339539	-5.58947592548175	-1.61745868034654	-4.47139157614489	-2.33771664884358	-13.2223270672199	0	1
0	-13.2223270672199	0	0.6	-8	-3.23920079581705	-1.93323722650297	11.7972168882466	-2.68943004054037	-1.42957273977313	-4.09018254684283	-2.35176613162381	-13.9727573275314	0	1
0	-13.9727573275314	0	1.0	-8	-3.11486598328359	-2.66984849062747	13.0516222339539	-3.58319540241562	-1.6807088991954	-4.47139157614489	-2.33771664884358	-15.4154816900277	0	1
0	-15.4154816900277	0	1.0	-8	-3.11486598328359	-2.11362791224906	13.0516222339539	-3.32179282296977	-1.25874911819322	-4.47139157614489	-2.33771664884358	-15.9594141472433	0	1
1	-3.55704788784319	0	0.5	-8	-2.77166447923855	-2.15534423769626	10.2329886841429	-2.45736642329043	-1.8533220521021	-2.94651697101643	-2.59681198746066	-14.3540621632804	0	1
0	-14.3540621632804	0	0.75	-8	-2.7020932342635	-1.6680470428334	12.2314516250432	-2.51158910054088	-0.63922997585723	-2.92827325611067	-2.58119445921917	-17.8567120504981	0	1
0	-17.8567120504981	0	0.75	-8	-2.7020932342635	-2.1874276081818	12.2314516250432	-2.86538154909546	-1.84357922334784	-2.92827325611067	-2.58119445921917	-20.3433825348817	0	1
0	-20.3433825348817	0	0.75	-8	-2.7020932342635	-2.8215031041392	12.2314516250432	-4.76760803696766	-1.84357922334784	-2.92827325611067	-2.58119445921917	-22.9017113340768	0	1
0	-22.9017113340768	0	0.75	-8	-2.82303897872426	-2.90792624356069	11.6526408290358	-4.86975979828302	-1.39665250910861	-3.2796259892222	-2.24297397593415	-24.1123217757194	0	1
1	-0.446491102281572	0	0.666666666666667	-8	-2.60295947944816	-2.2080546532819	11.1193861243165	-2.56485126618934	-1.85125804037447	-3.04534049460098	-2.16057846429535	-4.91644519216517	0	2
0	-4.91644519216517	0	0.666666666666667	-8	-3.09738097465333	-2.59229495882434	11.0072233050005	-2.68394812723974	-2.50064179040895	-3.33272638817517	-2.86203556113148	-8.34440234396789	0	4
0	-8.34440234396789	0	0.666666666666667	-8	-2.60295947944816	-1.62304624144987	11.1193861243165	-2.56485126618934	-0.681241216710409	-3.04534049460098	-2.16057846429535	-11.546088149546	0	2
0	-11.546088149546	0	0.666666666666667	-8	-3.09738097465333	-3.05557602519816	11.0072233050005	-3.42720392315658	-2.68394812723974	-3.33272638817517	-2.86203556113148	-11.7576692393184	0	2
0	-11.7576692393184	0	0.666666666666667	-8	-3.09738097465333	-2.46114435806141	11.0072233050005	-2.68394812723974	-2.23834058888307	-3.33272638817517	-2.86203556113148	-11.9128798622813	0	3
0	-2.45022789494218	0	0.75	-8	-2.62378502413923	-2.43683420410367	11.2156856184696	-2.56485126618934	-2.20399042359752	-3.04534049460098	-2.34351238871893	-2.89037175789617	0	2
0	-2.89037175789617	1	0.25	-8	-0.954242470413142	-0.30102998752096	8.90308998699194	-0.30102998752096	-0.30102998752096	-0.954242470413142	-0.954242470413142	-6.68168833838175	0	2
0	-6.68168833838175	0	1.0	-8	-2.7834815169944	-2.27171423832493	11.584659851564	-2.60432553213488	-1.71368973137799	-3.04534049460098	-2.48250218909777	-7.24741077772038	0	2
1	-7.24741077772038	0	0.5	-8	-1.99607602457279	-1.11278653928818	9.74057793541402	-1.71368973137799	-0.511883347198377	-2.69658503490127	-1.2955670142443	-13.4000795902562	0	2
0	-13.4000795902562	0	1.0	-8	-2.76682065901774	-2.13597726284617	11.6084596183975	-2.56485126618934	-1.65848308482074	-3.04534049460098	-2.48250218909777	-13.9166166549419	0	2
0	-7.41126848367719	0	0.5	-8	-2.85085061091125	-2.22972450356344	10.238357861963	-2.53019822596009	-1.92925078116678	-2.99749128170769	-2.7042099401148	-13.7097101678844	0	2
1	-13.7097101678844	0	1.0	-8	-2.88396265664142	-2.88358206305621	12.5761455983399	-5.58947592548175	-1.45075027938698	-3.13780185082113	-2.64849834102877	-14.4695691398235	0	2
0	-14.4695691398235	0	1.0	-8	-2.88396265664142	-2.23601831857327	12.5761455983399	-2.99922094754996	-1.45075027938698	-3.13780185082113	-2.64849834102877	-16.545968114073	0	2
0	-16.545968114073	0	1.0	-8	-2.88396265664142	-1.80090036123408	12.5761455983399	-2.56485126618934	-1.25874911819322	-3.13780185082113	-2.64849834102877	-21.8383258349899	0	2
0	-21.8383258349899	0	0.75	-8	-3.15465863431224	-2.22486244266987	11.2656800529696	-2.84224690727729	-1.90308963956554	-3.70732089775422	-2.7042099401148	-25.1760989278841	0	1
1	-5.94065429246517	0	1.0	-8	-2.76033828621159	-2.24225662810079	12.260627662511	-2.56485126618934	-1.81210851280051	-3.04534049460098	-2.39364652152923	-7.92356393119687	0	2
0	-7.92356393119687	0	1.0	-8	-2.76033828621159	-1.99021204177205	12.260627662511	-2.56485126618934	-1.59367634632629	-3.04534049460098	-2.39364652152923	-9.8528699120008	0	2
0	-9.8528699120008	0	1.0	-8	-2.76033828621159	-2.71325439288987	12.260627662511	-3.22510180716776	-2.34981010531253	-3.04534049460098	-2.39364652152923	-11.8357795507325	0	2
0	-11.8357795507325	0	1.0	-8	-2.76033828621159	-2.46120980656113	12.260627662511	-3.22510180716776	-1.59367634632629	-3.04534049460098	-2.39364652152923	-13.8340479709364	0	2
0	-13.8340479709364	0	0.666666666666667	-8	-2.57679392405513	-1.86090045725091	11.6802812389871	-2.34981010531253	-1.37199080918929	-2.75994132658102	-2.39364652152923	-15.8169576096681	0	2
0	-14.7468538764667	0	1.0	-8	-2.87088333836397	-1.97681582801034	12.7954674613019	-2.56485126618934	-1.55701886305415	-3.13780185082113	-2.50134503161042	-17.4783693635028	0	2
1	-17.4783693635028	0	1.0	-8	-2.87088333836397	-2.67988795550345	12.7954674613019	-5.58947592548175	-1.55701886305415	-3.13780185082113	-2.50134503161042	-18.2382283354419	0	2
0	-18.2382283354419	0	1.0	-8	-2.87088333836397	-2.1618369599171	12.7954674613019	-2.99922094754996	-1.55701886305415	-3.13780185082113	-2.50134503161042	-18.6590694960023	0	2
0	-18.6590694960023	0	1.0	-8	-2.87088333836397	-2.25941448688379	12.7954674613019	-3.22510180716776	-1.55701886305415	-3.13780185082113	-2.50134503161042	-18.8668465765121	0	2
0	-18.8668465765121	0	0.6	-8	-2.88852846596133	-1.46794874532323	12.1407784949435	-2.56485126618934	-0.0268864569798424	-3.04534049460098	-2.77821706077848	-20.3539893260492	0	2
0	-4.27359229579738	0	0.75	-8	-3.22534281526915	-2.3335824930739	11.8907620230992	-2.56485126618934	-2.12815259181694	-3.50269266368734	-3.04534049460098	-7.39163728269677	0	2
0	-7.39163728269677	0	0.75	-8	-3.22534281526915	-2.68947789077501	11.8907620230992	-3.37542981431876	-2.12815259181694	-3.50269266368734	-3.04534049460098	-7.61307230109982	0	2
0	-7.61307230109982	0	0.75	-8	-3.22534281526915	-2.29149006978438	11.8907620230992	-2.56485126618934	-2.12815259181694	-3.50269266368734	-3.04534049460098	-8.45922437720961	0	2
0	-8.45922437720961	0	0.75	-8	-3.19989429323776	-2.23317591273222	12.2631906475603	-2.56485126618934	-1.81210851280051	-3.71231454260776	-2.84202784250454	-9.51004602910912	0	2
0	-9.51004602910912	0	0.75	-8	-3.22534281526915	-2.69646532185511	11.8907620230992	-3.39639210755906	-2.12815259181694	-3.50269266368734	-3.04534049460098	-9.67170474185262	0	2
0	-3.97858807368763	0	1.0	-8	-2.73309171729515	-2.40631466865404	12.0410626522703	-2.56485126618934	-2.10396729770216	-3.04534049460098	-2.49017049566055	-6.0791368586848	0	2
1	-6.0791368586848	0	0.666666666666667	-8	-2.45365002903805	-1.63800507281096	11.0517229395311	-2.10396729770216	-1.17204284791975	-2.66376416162394	-2.24353589645217	-13.7018815032418	0	2
0	-13.7018815032418	0	0.666666666666667	-8	-2.47667716622357	-1.61122120130052	11.0750489501414	-2.10396729770216	-1.11847510489887	-2.66376416162394	-2.2895901708232	-15.0147167035008	0	2
0	-15.0147167035008	0	1.0	-8	-2.74092527736699	-2.99426010081392	12.0413500815751	-3.8678035941818	-2.55012544207063	-3.04534049460098	-2.49017049566055	-15.4449768336874	0	2
0	-15.4449768336874	0	1.0	-8	-2.73545990745073	-2.49877988235003	12.0437704086674	-2.84224690727729	-2.10396729770216	-3.0524450650677	-2.49017049566055	-17.115265488498	0	1
0	-8.48702171734049	0	1.0	-8	-3.00834526298224	-2.09875253840493	12.7310180984201	-2.56485126618934	-1.82679281824742	-3.14602876639206	-2.7042099401148	-11.2185372043766	0	2
1	-11.2185372043766	0	1.0	-8	-3.00834526298224	-2.97759269777132	12.7310180984201	-5.58947592548175	-1.82679281824742	-3.14602876639206	-2.7042099401148	-11.9783961763158	0	2
0	-11.9783961763158	0	1.0	-8	-3.00834526298224	-2.33002895328838	12.7310180984201	-2.99922094754996	-1.82679281824742	-3.14602876639206	-2.7042099401148	-14.0547951505653	0	2
0	-14.0547951505653	0	1.0	-8	-3.00834526298224	-1.89491099594919	12.7310180984201	-2.56485126618934	-1.25874911819322	-3.14602876639206	-2.7042099401148	-19.9534104773402	0	2
0	-19.9534104773402	0	1.0	-8	-3.01012140559892	-2.16810144867692	12.7330489157179	-2.84224690727729	-1.82679281824742	-3.14602876639206	-2.7042099401148	-22.6849259643763	0	1
0	-7.80771623826697	0	1.0	-8	-3.03148176787555	-2.17732084010251	12.8067671431951	-2.56485126618934	-1.82679281824742	-3.14602876639206	-2.79675595968804	-10.5392317253031	0	2
1	-10.5392317253031	0	1.0	-8	-3.03148176787555	-3.0561609994689	12.8067671431951	-5.58947592548175	-1.82679281824742	-3.14602876639206	-2.79675595968804	-11.2990906972423	0	2
0	-11.2990906972423	0	1.0	-8	-3.03148176787555	-2.40859725498595	12.8067671431951	-2.99922094754996	-1.82679281824742	-3.14602876639206	-2.79675595968804	-13.3754896714917	0	2
0	-13.3754896714917	0	1.0	-8	-3.03148176787555	-1.97347929764677	12.8067671431951	-2.56485126618934	-1.25874911819322	-3.14602876639206	-2.79675595968804	-19.2741049982667	0	2
0	-19.2741049982667	0	1.0	-8	-3.03325791049223	-2.24666975037449	12.808797960493	-2.84224690727729	-1.82679281824742	-3.14602876639206	-2.79675595968804	-22.0056204853028	0	1
1	-2.81296264089368	0	0.666666666666667	-8	-2.64183770386985	-2.30463496245819	11.1874959978255	-2.56485126618934	-2.04441865872704	-3.04534049460098	-2.23833491313871	-3.06570311144971	0	2
0	-3.06570311144971	0	1.0	-8	-2.78433989141654	-2.35475696948704	11.7987605016541	-2.56485126618934	-1.99701786789162	-3.04534049460098	-2.39369109402948	-14.2793514008934	0	2
0	-14.2793514008934	0	0.666666666666667	-8	-2.64538998910321	-2.44333278300216	11.1915576324212	-2.84224690727729	-2.04441865872704	-3.0524450650677	-2.23833491313871	-14.5320918714494	0	1
0	-14.5320918714494	0	1.0	-8	-2.78670808157212	-2.44722218318302	11.8014682580512	-2.84224690727729	-1.99701786789162	-3.0524450650677	-2.39369109402948	-16.8571432828684	0	1
0	-16.8571432828684	0	1.0	-8	-2.78433989141654	-3.84771015844293	11.7987605016541	-6.98126134124783	-1.99701786789162	-3.04534049460098	-2.39369109402948	-17.1068404658125	0	2
0	-6.76549219905101	0	1.0	-8	-2.96245076184564	-2.18940577845743	12.9945352386723	-2.56485126618934	-1.92925078116678	-3.13780185082113	-2.7042099401148	-7.60238526234758	0	2
0	-7.60238526234758	0	0.666666666666667	-8	-2.90187220266793	-2.26487568498512	11.1700192920233	-2.60050058880345	-1.92925078116678	-3.09953446522106	-2.7042099401148	-8.22416909068713	0	2
0	-8.22416909068713	0	0.666666666666667	-8	-2.93066843332699	-2.2198971921309	11.0867544045039	-2.51054360309501	-1.92925078116678	-3.15712692653917	-2.7042099401148	-9.49700768608712	0	2
1	-9.49700768608712	0	1.0	-8	-2.96245076184564	-3.36119265761262	12.9945352386723	-5.58947592548175	-1.92925078116678	-3.13780185082113	-2.7042099401148	-12.1179064118651	0	2
0	-12.1179064118651	0	0.666666666666667	-8	-2.93066843332699	-1.71281334949315	11.0867544045039	-1.92925078116678	-1.49637591781952	-3.15712692653917	-2.7042099401148	-16.0532911740007	0	2
1	-4.9830176390878	0	1.0	-8	-2.86276106798041	-2.26371908674531	12.3115577564818	-2.83580181422175	-1.68183241203855	-3.38965687606512	-2.40987299011035	-9.96440349353311	0	3
0	-9.96440349353311	0	1.0	-8	-2.86276106798041	-2.45488173352303	12.3115577564818	-3.09800770238545	-1.68183241203855	-3.38965687606512	-2.40987299011035	-11.2824004268171	0	3
0	-11.2824004268171	0	1.0	-8	-2.86276106798041	-2.95759121385617	12.3115577564818	-5.61155510405113	-1.68183241203855	-3.38965687606512	-2.40987299011035	-11.9756375973162	0	3
0	-11.9756375973162	0	0.8	-8	-2.75381242825103	-2.5591362881277	11.754592797298	-3.57671645775362	-1.68183241203855	-3.38965687606512	-2.31467762307443	-14.3821823060474	0	3
0	-14.3821823060474	0	0.8	-8	-2.76642080826456	-2.05046364811938	11.7632214409198	-2.83580181422175	-1.54202589772036	-3.38965687606512	-2.36511114312854	-16.9570234517615	0	3
1	-2.85329718936623	0	1.0	-8	-2.68384911895769	-2.53272588473004	12.308715283602	-2.94828362076366	-2.22056949044404	-2.90016463954298	-2.41762494568341	-6.81549211241458	0	4
0	-6.81549211241458	0	1.0	-8	-2.68384911895769	-2.01858377669227	12.308715283602	-2.42932454298243	-1.40585729665036	-2.90016463954298	-2.41762494568341	-7.1418449168273	0	4
