Label	f0	f1	f2	f3	f4	f5	f6	f7	f8	f9	f10	f11	f12	f13	f14	f15	f16
0	-12.1659496828258	0	0.8	-8	-2.80403647402504	-2.04058675636309	12.5632678312923	-2.48425182515129	-1.39354216106557	-3.13780185082113	-2.44854518793505	-12.2935645306446	0	2	-10	-10	-7.62548023596651
0	-2.82764950998345	0	0.75	-8	-2.52588635158334	-2.26359740519502	9.98243215045828	-2.58810697435293	-1.95635158971367	-2.80406848287295	-2.30771350281144	-4.38092093204859	0	5	-10	-10	2.56222194151039
0	-4.38092093204859	0	0.75	-8	-2.52588635158334	-2.27901333819186	9.98243215045828	-2.58810697435293	-2.00259938870418	-2.80406848287295	-2.30771350281144	-5.88620771209852	0	5	-10	-10	-1.88658687665907
0	-5.88620771209852	0	1.0	-8	-2.83621014216383	-2.32538717831525	11.2101801362302	-2.62648511011958	-1.84062297727003	-3.25176414986277	-2.46587706906565	-10.7224481664498	0	5	-10	-10	-4.97439767115375
1	-4.23043873217383	0	1.0	-8	-2.9466147376853	-2.42504624247969	11.3666681735218	-2.70345190435859	-2.11372001577012	-3.1927352797645	-2.78299522031056	-7.33134143702289	0	4	-10	0.192773530613043	6.41666828143729
1	-4.23043873217383	0	1.0	-8	-2.9466147376853	-2.42504624247969	11.3666681735218	-2.70345190435859	-2.11372001577012	-3.1927352797645	-2.78299522031056	-7.33134143702289	0	4	-10	0.192773530613043	6.41666828143729
0	-7.33134143702289	0	1.0	-8	-2.9466147376853	-2.11872740191878	11.3666681735218	-2.70345190435859	-1.53901028562761	-3.1927352797645	-2.78299522031056	-8.57457127926486	0	4	-10	-10	-2.27398306334404
1	-4.23043873217383	0	1.0	-8	-2.97018136789067	-2.62137806489634	11.0333348401885	-2.70345190435859	-2.45796680731035	-3.1927352797645	-2.85369511092667	-7.33134143702289	0	4	-10	0.192773530613043	4.44681913359218
1	-4.23043873217383	0	1.0	-8	-2.97018136789067	-2.62137806489634	11.0333348401885	-2.70345190435859	-2.45796680731035	-3.1927352797645	-2.85369511092667	-7.33134143702289	0	4	-10	0.192773530613043	4.44681913359218
0	-7.33134143702289	0	1.0	-8	-2.97018136789067	-2.31505922433543	11.0333348401885	-2.70345190435859	-1.53901028562761	-3.1927352797645	-2.85369511092667	-18.9654126362613	0	4	-10	-10	-6.65696335758313
1	-2.01189500039219	0	0.666666666666667	-8	-3.33647315693004	-2.87666114926034	9.8410273885369	-3.28958049256923	-2.46374180595145	-3.93404010770464	-2.73890620615544	-5.22419201842295	0	2	0.575769415190023	0.320473163399967	3.99054275689801
0	-5.22419201842295	0	1.0	-8	-2.91169612570483	-3.18138107727486	11.69081292307	-4.15103518300401	-2.46374180595145	-3.15717301380704	-2.73890620615544	-8.44729733281494	0	2	-10	-10	-10.9440222659599
0	-8.44729733281494	0	1.0	-8	-2.91169612570483	-2.87384288582195	11.69081292307	-3.22842060864527	-2.46374180595145	-3.15717301380704	-2.73890620615544	-12.4235402024827	0	2	-10	-10	-10.9721262361272
0	-7.67815231132815	0	0.75	-8	-2.04876235319287	-1.34587245736591	11.9172581739951	-2.07411528801617	-0.154901953998684	-3.13780185082113	-0.268845304394147	-8.96058970511718	0	4	-10	-10	-5.87432183970591
0	-8.96058970511718	0	1.0	-8	-3.23865941956216	-2.39234001770812	12.3115061387133	-3.41154262928568	-1.80860013008288	-3.58266392221881	-2.73963990436334	-10.4096677983643	0	2	-10	-10	-8.92985500636311
1	-10.4096677983643	0	0.75	-8	-2.04876235319287	-2.5176593365211	11.9172581739951	-5.58947592548175	-0.154901953998684	-3.13780185082113	-0.268845304394147	-11.1695267703034	0	4	-10	-10	3.85631029866035
1	-4.23043873217383	0	1.0	-8	-2.65405126520774	-2.31053359218194	11.3217686488893	-2.70345190435859	-1.77018206487686	-3.1927352797645	-1.90530480287787	-6.83128284503683	0	4	-10	0.331467592979971	5.16109053035733
1	-4.23043873217383	0	1.0	-8	-2.65405126520774	-2.31053359218194	11.3217686488893	-2.70345190435859	-1.77018206487686	-3.1927352797645	-1.90530480287787	-6.83128284503683	0	4	-10	0.331467592979971	5.16109053035733
0	-6.83128284503683	0	1.0	-8	-3.1376636127792	-2.7825951950256	11.4008889541542	-3.18636687340784	-2.45796680731035	-3.35614184559226	-2.86411371298084	-7.33134143702289	0	2	-10	-10	-8.83996711240207
1	-4.11677732770835	0	0.75	-8	-2.48551545758269	-2.19526048484457	10.709453794209	-2.92369473378312	-1.20411991344025	-3.19449275949508	-1.39793990027215	-7.21768003255741	0	2	-10	0.140358982863977	4.44676635433654
1	-4.11677732770835	0	0.75	-8	-2.48551545758269	-2.19526048484457	10.709453794209	-2.92369473378312	-1.20411991344025	-3.19449275949508	-1.39793990027215	-7.21768003255741	0	2	-10	0.140358982863977	4.44676635433654
0	-7.21768003255741	0	0.75	-8	-2.48551545758269	-1.88894164428366	10.709453794209	-2.92369473378312	-1.20411991344025	-3.19449275949508	-1.39793990027215	-8.04022793255121	0	2	-10	-10	-8.27328573886441
0	-1.78128600980147	0	0.4	-8	-2.53050255052878	-2.40991929707164	9.20070027039077	-2.67319445745952	-2.14664413668376	-2.85305742740694	-2.20794767365062	-3.87022181170077	0	5	-10	-10	-5.14320637449593
1	-3.87022181170077	0	0.4	-8	-2.53050255052878	-2.24691671324592	9.20070027039077	-2.67319445745952	-1.82063896903232	-2.85305742740694	-2.20794767365062	-5.47145750697885	0	5	-10	-0.0157084968323131	0.312497310165992
