index	nb_urls	delimit_hash	geo	text	nb_symbols	annee	delimit_mention	nb_extended_entities	text_mention	id_str	nb_user_photos	nb_user_mentions	type_extended_entities	created_at	lang	retweet_count	nb_hashtags	favorite_count	text_hashtags
778258502087245824	0	, 58, 67, 68, 79		Ça fait 11 ans qu'ils ne sont plus ensemble mais bon... 😒 #Facepalm #Brangelina https://t.co/FCpWsv7q1u	0	2016		1		778258502087245824	1	0	['photo']	Tue Sep 20 15:44:20 +0000 2016	fr	1	2	3	, Facepalm, Brangelina
778258513747439616	0	, 60, 71		Vous imaginez si Brad retourne avec Jennifer 12 ans après 😯 #Brangelina	0	2016		0		778258513747439616	0	0	[]	Tue Sep 20 15:44:23 +0000 2016	fr	0	1	0	, Brangelina
778258598258434048	0	, 93, 100, 101, 107, 114, 123, 126, 137		Shiloh Nouvel, Maddox Zahara, Phan Quang Sang, Knox Léon, Vivienne Marcheline sind die neuen #Justin #Kevin &amp; #Jennifer - #brangelina	0	2016		0		778258598258434048	0	0	[]	Tue Sep 20 15:44:43 +0000 2016	fr	0	4	0	, Justin, Kevin, Jennifer, brangelina
778258661810511872	1	, 47, 58, 59, 68, 69, 83		"RIP Brangelina, c'est fini. Une ère s'achève. 
#brangelina #bradpitt #angelinajolie… https://t.co/QZvDsEHDrV"	0	2016		0		778258661810511872	0	0	[]	Tue Sep 20 15:44:58 +0000 2016	fr	0	3	0	, brangelina, bradpitt, angelinajolie
778258670132002817	1	, 47, 58, 59, 68, 69, 83, 84, 102		"RIP Brangelina, c'est fini. Une ère s'achève. 
#brangelina #bradpitt #angelinajolie #brangelinadivorce https://t.co/FtpqSsVa1v"	0	2016		0		778258670132002817	0	0	[]	Tue Sep 20 15:45:00 +0000 2016	fr	0	4	0	, brangelina, bradpitt, angelinajolie, brangelinadivorce
778258713023045633	0	, 28, 39		C'est l'arroseur arrosé 😂😂😂 #Brangelina	0	2016		0		778258713023045633	0	0	[]	Tue Sep 20 15:45:11 +0000 2016	fr	1	1	1	, Brangelina
778258811354243074	0	, 28, 39		OOOOOOOH PUTAAAAIIIN !!!!!! #Brangelina	0	2016		0		778258811354243074	0	0	[]	Tue Sep 20 15:45:34 +0000 2016	fr	0	1	0	, Brangelina
778258836415254528	0	, 27, 38, 42, 52, 95, 106		Car oui, checker l'affaire #Brangelina et #Cotillard sur l'elliptique me distrait vaguement du #typequipue	0	2016		0		778258836415254528	0	0	[]	Tue Sep 20 15:45:40 +0000 2016	fr	0	3	0	, Brangelina, Cotillard, typequipue
778258941595779072	1	, 68, 79		J'espère que les 20h de France 2 et TF1 vont ouvrir avec ce sujet ! #brangelina cc @JulietteDvdts 😜 https://t.co/o8ti5gdTDc	0	2016	, 83, 97	0	, JulietteDvdts	778258941595779072	0	1	[]	Tue Sep 20 15:46:05 +0000 2016	fr	2	1	0	, brangelina
778258974307155968	1	, 20, 31		Le drame de l'année #Brangelina https://t.co/rg8z3AOCHR	0	2016		0		778258974307155968	0	0	[]	Tue Sep 20 15:46:13 +0000 2016	fr	0	1	1	, Brangelina
