index	nb_user_mentions	nb_extended_entities	nb_hashtags	geo	text_hashtags	annee	delimit_mention	lang	id_str	text_mention	retweet_count	favorite_count	type_extended_entities	text	nb_user_photos	nb_urls	nb_symbols	created_at	delimit_hash
777800585106100224	0	0	1		, Macron	2016		fr	777800585106100224		0	0	[]	Jean-Pierre Masseret, pro #Macron : "Aujourd'hui, je soutiens un gamin de 38 ans qui est plus jeune que mes enfants" https://t.co/mNe0rSz8V2	0	1	0	Mon Sep 19 09:24:44 +0000 2016	, 26, 33
777805473974198272	1	1	2		, Macron, LeGrandRDV	2016	, 9, 24	fr	777805473974198272	, FrancoisFillon	0	0	['video']	Pourquoi @FrancoisFillon n'a pas démissionné entre 2007 et 2012, à la différence d'Emmanuel #Macron. #LeGrandRDV https://t.co/jDLjcke0WR	1	0	0	Mon Sep 19 09:44:10 +0000 2016	, 92, 99, 101, 112
777805617163538433	1	0	1		, Macron	2016	, 0, 9	fr	777805617163538433	, legraiso	0	0	[]	"@legraiso 
L'intrépidité est la source de toutes les aventures.
On lui souhaite le même succès que celui de Harry Potter
#Macron"	0	0	0	Mon Sep 19 09:44:44 +0000 2016	, 121, 128
777813644734263296	0	0	1		, macron	2016		fr	777813644734263296		0	0	[]	Et pour la France cela sera pareil a terme non ? Bus #macron https://t.co/jtNjK4bGFM	0	1	0	Mon Sep 19 10:16:38 +0000 2016	, 53, 60
777814773245280256	1	0	2		, GGRMC, Macron	2016	, 7, 20	fr	777814773245280256	, AlainDuhamel	0	0	[]	#GGRMC @AlainDuhamel Les médias nous ressortent toujours #Macron comme soi-disant symbole de nouveauté. Il fera pschittt.	0	0	0	Mon Sep 19 10:21:07 +0000 2016	, 0, 6, 57, 64
777816650536087552	0	2	4		, Fabuis, Macron, Clinton, Sarkozy	2016		fr	777816650536087552		19	11	['photo', 'photo']	"Les dessins de la semaine
Dimanche 18 septembre 2016

#Fabuis #Macron #Clinton #Sarkozy 

https://t.co/CgoZoks0nF https://t.co/YfM7P9TxNc"	1	1	0	Mon Sep 19 10:28:35 +0000 2016	, 54, 61, 62, 69, 70, 78, 79, 87
777817570950909952	0	0	1		, Macron	2016		fr	777817570950909952		1	0	[]	La modernité selon #Macron. https://t.co/X7Xjh8GsFi	0	1	0	Mon Sep 19 10:32:14 +0000 2016	, 19, 26
777817850178396160	2	0	1		, Macron	2016	, 0, 7, 8, 21	fr	777817850178396160	, GG_RMC, AlainDuhamel	0	0	[]	@GG_RMC @AlainDuhamel Im lui manque Qd même tout le volet sociétal à #Macron	0	0	0	Mon Sep 19 10:33:21 +0000 2016	, 69, 76
777818583304986624	0	0	1		, Macron	2016		fr	777818583304986624		0	0	[]	En fait Henry Hermand c'est en plus du mentor et conseiller d'Emmanuel #Macron son Massimo Garcia et Stéphane Bern ?	0	0	0	Mon Sep 19 10:36:16 +0000 2016	, 71, 78
777819116711411713	0	1	1		, Macron	2016		fr	777819116711411713		3	2	['photo']	#Macron à gauche pour les sondages à droite pour les patrons https://t.co/ZuKDMYRYA4	1	0	0	Mon Sep 19 10:38:23 +0000 2016	, 0, 7
777819462976299008	0	0	2		, Macron, Hollande	2016		fr	777819462976299008		39	39	[]	H. Hermand "mon soutien à #Macron ne doit pas faire plaisir à #Hollande "Ca dépend : fonctionne &amp; King ou "dindon de la farce à Matignon" ;)	0	0	0	Mon Sep 19 10:39:45 +0000 2016	, 26, 33, 62, 71
777820632990019585	1	0	2		, LoiMacron, transports	2016	, 76, 90	fr	777820632990019585	, quot_tourisme	1	0	[]	"""Les autocars Macron affichent déjà 3,4 millions de passagers au compteur"" (@quot_tourisme)
►https://t.co/JqQBIVjGHV
#LoiMacron #transports"	0	1	0	Mon Sep 19 10:44:24 +0000 2016	, 117, 127, 128, 139
777820708906958848	1	0	2		, Hollande, Macron	2016	, 68, 73	fr	777820708906958848	, lobs	0	1	[]	#Hollande – #Macron : c'est la guerre ! https://t.co/GuXUruECCG via @LObs	0	1	0	Mon Sep 19 10:44:42 +0000 2016	, 0, 9, 12, 19
777821807915241473	0	0	2		, Macron, méfait	2016		fr	777821807915241473		1	0	[]	"#Macron ce #méfait du quinquennat :
https://t.co/qouGsiRiOe"	0	1	0	Mon Sep 19 10:49:04 +0000 2016	, 0, 7, 11, 18
777822554551676928	0	0	2		, Macron, Lang	2016		fr	777822554551676928		43	19	[]	Faux, il était conseiller à l'Elysée donc complice des hausses d’impôts et de l'explosion du chômage. #Macron #Lang https://t.co/Uhb0m5mEKj	0	1	0	Mon Sep 19 10:52:02 +0000 2016	, 102, 109, 110, 115
777825318631538688	1	0	3		, Transport, autocar, Macron	2016	, 83, 93	fr	777825318631538688	, LaTribune	0	0	[]	#Transport en #autocar : les 2/3 des sièges sont vides https://t.co/C2252sbPzO via @latribune #Macron	0	1	0	Mon Sep 19 11:03:01 +0000 2016	, 0, 10, 14, 22, 94, 101
777825551281229825	0	0	2		, Macron, transport	2016		fr	777825551281229825		0	0	[]	Autocars #Macron : plus de la moitié des sièges restent vides https://t.co/i3QjGD3s0Z #transport	0	1	0	Mon Sep 19 11:03:57 +0000 2016	, 9, 16, 86, 96
777827027877367808	0	0	1		, macron	2016		fr	777827027877367808		4	10	[]	Si il faut être un professionnel du parachutage pour être "quelque chose" alors...  #macron https://t.co/V9AvMWr1uH	0	1	0	Mon Sep 19 11:09:49 +0000 2016	, 84, 91
