Project,Version,num_downloads,month
pymyinstall,17.04,1,201811
tkinterquickhelper,10.11.6,1,201905
pyquickhelper,10.12.6,15,201709
tkinterquickhelper,10.13.6,3,201810
mlstatpy,10.13,2,201711
pyquickhelper,2018.4,1,201809
pyrsslocal,,429,201704
tkinterquickhelper,18.10,3,201811
mlinsights,9,85,201905
pymyinstall,14.04,2,201602
pyensae,17.04,3,201706
mlstatpy,,951,201610
cpyquickhelper,,73,201803
pymmails,10.13.3,1,201902
tkinterquickhelper,10.13.3,6,201802
pysqllike,,170,201809
pymyinstall,,2158,201703
lightmlboard,,470,201808
pymmails,10.14.4,1,201904
pymmails,9,3,201812
tkinterquickhelper,20190310,1,201903
pyensae,18.0.4,2,201906
pymyinstall,9,12,201807
jyquickhelper,jessie/sid,1,201712
onnxruntime,10.14.4,3,201903
jyquickhelper,,969,201706
pyrsslocal,10.11.6,1,201805
pyquickhelper,27,1,201802
skl2onnx,7.2,1,201906
pyquickhelper,10.14,1,201807
skl2onnx,18.2,1,201905
pyensae,18.2,5,201904
mlprodict,,83,201808
mlstatpy,16.04,66,201808
papierstat,,57,201804
tkinterquickhelper,6.9,1,201802
jyquickhelper,10.12.6,5,201708
pyensae,9,15,201904
jyquickhelper,9,38,201812
onnxruntime,10.13.3,1,201901
jyquickhelper,16.04,19,201705
tkinterquickhelper,10.12.6,3,201709
jupytalk,16.04,3,201703
manydataapi,10.14.3,1,201902
pymmails,10.8.5,1,201703
pyquickhelper,10.13.5,4,201806
jupytalk,,991,201701
nimbusml,,12004,201904
pyenbc,14.04,17,201801
pyenbc,,89,201811
mlstatpy,16.04,36,201905
pyquickhelper,10.12.5,1,201711
pyensae,,811,201612
pymyinstall,jessie/sid,2,201610
pyquickhelper,26,1,201709
csharpy,,85,201807
jupytalk,,121,201803
pyensae,18.04,27,201901
jyquickhelper,jessie/sid,66,201702
jupytalk,testing,1,201612
pyensae,14.04,111,201711
pyrsslocal,9,3,201807
jyquickhelper,12.2,1,201801
jyquickhelper,8,187,201904
pyquickhelper,10.14.2,3,201903
pyensae,16.10,2,201711
pyquickhelper,10.12,1,201709
jyquickhelper,8,28,201711
pyrsslocal,,545,201601
pymmails,12.04,86,201612
jyquickhelper,8,1,201812
pymyinstall,stretch/sid,2,201606
pymmails,8,1,201611
pyensae,8,2,201806
mlinsights,16.04,47,201904
tkinterquickhelper,16.04,1,201709
pyquickhelper,6,7,201806
mlinsights,10.12,2,201905
