Date	Sessions
27/07/2012	9
28/07/2012	3
29/07/2012	2
30/07/2012	2
31/07/2012	4
01/08/2012	4
02/08/2012	4
03/08/2012	1
04/08/2012	1
05/08/2012	1
06/08/2012	7
07/08/2012	4
08/08/2012	5
09/08/2012	5
10/08/2012	3
11/08/2012	3
12/08/2012	4
13/08/2012	6
14/08/2012	6
15/08/2012	4
16/08/2012	5
17/08/2012	5
18/08/2012	0
19/08/2012	2
20/08/2012	8
21/08/2012	10
22/08/2012	4
23/08/2012	5
24/08/2012	8
25/08/2012	5
26/08/2012	7
27/08/2012	6
28/08/2012	6
29/08/2012	4
30/08/2012	9
31/08/2012	2
01/09/2012	5
02/09/2012	5
03/09/2012	6
04/09/2012	8
05/09/2012	10
06/09/2012	12
07/09/2012	14
08/09/2012	3
09/09/2012	1
10/09/2012	16
11/09/2012	153
12/09/2012	11
13/09/2012	9
14/09/2012	7
15/09/2012	10
16/09/2012	14
17/09/2012	19
18/09/2012	133
19/09/2012	10
20/09/2012	13
21/09/2012	11
22/09/2012	8
23/09/2012	12
24/09/2012	15
25/09/2012	122
26/09/2012	18
27/09/2012	15
28/09/2012	19
29/09/2012	5
30/09/2012	12
01/10/2012	18
02/10/2012	131
03/10/2012	10
04/10/2012	9
05/10/2012	10
06/10/2012	11
07/10/2012	17
08/10/2012	16
09/10/2012	115
10/10/2012	14
11/10/2012	29
12/10/2012	9
13/10/2012	15
14/10/2012	19
15/10/2012	27
16/10/2012	132
17/10/2012	25
18/10/2012	26
19/10/2012	46
20/10/2012	13
21/10/2012	18
22/10/2012	66
23/10/2012	128
24/10/2012	9
25/10/2012	8
26/10/2012	7
27/10/2012	30
28/10/2012	18
29/10/2012	14
30/10/2012	13
31/10/2012	9
01/11/2012	9
02/11/2012	14
03/11/2012	17
04/11/2012	20
05/11/2012	41
06/11/2012	155
07/11/2012	12
08/11/2012	13
09/11/2012	10
10/11/2012	9
11/11/2012	6
12/11/2012	22
13/11/2012	114
14/11/2012	12
15/11/2012	10
16/11/2012	8
17/11/2012	9
18/11/2012	5
19/11/2012	21
20/11/2012	89
21/11/2012	13
22/11/2012	22
23/11/2012	15
24/11/2012	9
25/11/2012	20
26/11/2012	61
27/11/2012	62
28/11/2012	11
29/11/2012	8
30/11/2012	9
01/12/2012	6
02/12/2012	11
03/12/2012	18
04/12/2012	115
05/12/2012	8
06/12/2012	8
07/12/2012	6
08/12/2012	4
09/12/2012	9
10/12/2012	16
11/12/2012	121
12/12/2012	2
13/12/2012	13
14/12/2012	16
15/12/2012	6
16/12/2012	7
17/12/2012	10
18/12/2012	6
19/12/2012	7
20/12/2012	13
21/12/2012	7
22/12/2012	2
23/12/2012	8
24/12/2012	6
25/12/2012	7
26/12/2012	9
27/12/2012	8
28/12/2012	7
29/12/2012	7
30/12/2012	6
31/12/2012	12
01/01/2013	5
02/01/2013	7
03/01/2013	8
04/01/2013	4
05/01/2013	4
06/01/2013	3
07/01/2013	16
08/01/2013	13
09/01/2013	6
10/01/2013	12
11/01/2013	6
12/01/2013	7
13/01/2013	11
14/01/2013	18
15/01/2013	10
16/01/2013	7
17/01/2013	15
18/01/2013	10
19/01/2013	10
20/01/2013	8
21/01/2013	18
22/01/2013	14
23/01/2013	7
24/01/2013	7
25/01/2013	6
26/01/2013	11
27/01/2013	8
28/01/2013	12
29/01/2013	10
30/01/2013	11
31/01/2013	11
01/02/2013	9
02/02/2013	10
03/02/2013	8
04/02/2013	17
05/02/2013	19
06/02/2013	17
07/02/2013	16
08/02/2013	18
09/02/2013	10
10/02/2013	15
11/02/2013	16
12/02/2013	23
13/02/2013	18
14/02/2013	15
15/02/2013	13
16/02/2013	17
17/02/2013	15
18/02/2013	22
19/02/2013	13
20/02/2013	18
21/02/2013	12
22/02/2013	13
23/02/2013	11
24/02/2013	14
25/02/2013	9
26/02/2013	12
27/02/2013	12
28/02/2013	12
01/03/2013	17
02/03/2013	14
03/03/2013	6
04/03/2013	13
05/03/2013	19
06/03/2013	17
07/03/2013	29
08/03/2013	13
09/03/2013	4
10/03/2013	9
11/03/2013	15
12/03/2013	9
13/03/2013	18
14/03/2013	14
15/03/2013	20
16/03/2013	9
17/03/2013	7
18/03/2013	7
19/03/2013	7
20/03/2013	16
21/03/2013	7
22/03/2013	14
23/03/2013	6
24/03/2013	6
25/03/2013	7
26/03/2013	12
27/03/2013	14
28/03/2013	11
29/03/2013	12
30/03/2013	9
31/03/2013	9
01/04/2013	13
02/04/2013	14
03/04/2013	17
04/04/2013	22
05/04/2013	9
06/04/2013	18
07/04/2013	21
08/04/2013	18
09/04/2013	18
10/04/2013	14
11/04/2013	14
12/04/2013	15
13/04/2013	14
14/04/2013	10
15/04/2013	8
16/04/2013	26
17/04/2013	11
18/04/2013	16
19/04/2013	8
20/04/2013	6
21/04/2013	17
22/04/2013	13
23/04/2013	12
24/04/2013	14
25/04/2013	12
26/04/2013	14
27/04/2013	12
28/04/2013	19
29/04/2013	14
30/04/2013	9
01/05/2013	21
02/05/2013	21
03/05/2013	16
04/05/2013	41
05/05/2013	20
06/05/2013	25
07/05/2013	20
08/05/2013	15
09/05/2013	30
10/05/2013	17
11/05/2013	18
12/05/2013	22
13/05/2013	33
14/05/2013	20
15/05/2013	27
16/05/2013	14
17/05/2013	11
18/05/2013	15
19/05/2013	19
20/05/2013	15
21/05/2013	23
22/05/2013	19
23/05/2013	19
24/05/2013	15
25/05/2013	11
26/05/2013	18
27/05/2013	32
28/05/2013	28
29/05/2013	20
30/05/2013	18
31/05/2013	13
01/06/2013	5
02/06/2013	18
03/06/2013	18
04/06/2013	9
05/06/2013	20
06/06/2013	18
07/06/2013	25
08/06/2013	13
09/06/2013	18
10/06/2013	21
11/06/2013	14
12/06/2013	23
13/06/2013	26
14/06/2013	34
15/06/2013	14
16/06/2013	20
17/06/2013	35
18/06/2013	23
19/06/2013	27
20/06/2013	32
21/06/2013	27
22/06/2013	22
23/06/2013	9
24/06/2013	27
25/06/2013	23
26/06/2013	17
27/06/2013	19
28/06/2013	24
29/06/2013	15
30/06/2013	20
01/07/2013	22
02/07/2013	19
03/07/2013	11
04/07/2013	18
05/07/2013	12
06/07/2013	9
07/07/2013	15
08/07/2013	15
09/07/2013	16
10/07/2013	33
11/07/2013	25
12/07/2013	29
13/07/2013	14
14/07/2013	20
15/07/2013	23
16/07/2013	25
17/07/2013	17
18/07/2013	16
19/07/2013	21
20/07/2013	10
21/07/2013	15
22/07/2013	20
23/07/2013	17
24/07/2013	33
25/07/2013	14
26/07/2013	23
27/07/2013	9
28/07/2013	16
29/07/2013	16
30/07/2013	28
31/07/2013	23
01/08/2013	22
02/08/2013	25
03/08/2013	9
04/08/2013	15
05/08/2013	21
06/08/2013	23
07/08/2013	26
08/08/2013	22
09/08/2013	10
10/08/2013	10
11/08/2013	14
12/08/2013	18
13/08/2013	33
14/08/2013	29
15/08/2013	28
16/08/2013	17
17/08/2013	7
18/08/2013	21
19/08/2013	35
20/08/2013	105
21/08/2013	142
22/08/2013	58
23/08/2013	37
24/08/2013	22
25/08/2013	22
26/08/2013	31
27/08/2013	31
28/08/2013	40
29/08/2013	47
30/08/2013	42
31/08/2013	13
01/09/2013	20
02/09/2013	30
03/09/2013	29
04/09/2013	27
05/09/2013	31
06/09/2013	22
07/09/2013	22
08/09/2013	20
09/09/2013	42
10/09/2013	166
11/09/2013	47
12/09/2013	32
13/09/2013	37
14/09/2013	27
15/09/2013	24
16/09/2013	56
17/09/2013	139
18/09/2013	37
19/09/2013	37
20/09/2013	28
21/09/2013	16
22/09/2013	29
23/09/2013	56
24/09/2013	151
25/09/2013	63
26/09/2013	40
27/09/2013	43
28/09/2013	16
29/09/2013	47
30/09/2013	110
01/10/2013	211
02/10/2013	98
03/10/2013	58
04/10/2013	40
05/10/2013	38
06/10/2013	43
07/10/2013	46
08/10/2013	311
09/10/2013	119
10/10/2013	92
11/10/2013	70
12/10/2013	45
13/10/2013	112
14/10/2013	451
15/10/2013	351
16/10/2013	197
